query,intent,response
Do I have to pay for return shipping?,ecommerce_support,Return shipping is free if the item is defective or incorrect.
Who are you?,general_chat,"I’m your virtual assistant, here to help with orders, products, and more!"
How can I change my email address?,account_help,Go to your profile and select 'Edit Email Address.'
How do I change my username?,account_help,You can change your username once per month in your profile settings.
Can I pre-order this item?,product_info,"Yes, some items allow pre-orders. Please check the product page for details."
Why was my account suspended?,account_help,Your account may be temporarily suspended for security reasons. Contact support to resolve it.
I received the wrong item.,order_status,We’re sorry about that! Please file a return request and we’ll fix it right away.
Bye,general_chat,Goodbye! Have a great day!
Where can I find my invoices?,ecommerce_support,Invoices are automatically generated and available under 'My Orders' after purchase.
I haven’t received my order yet.,order_status,I’m sorry for the delay. Please allow 2–3 more business days for delivery.
What colors does it come in?,product_info,"This item is available in red, black, white, and blue."
Do you offer product warranties?,ecommerce_support,"Yes, selected items come with a 1-year warranty. Details are listed on the product page."
Where is my order?,order_status,Your order is currently being processed and will be shipped soon.
How long does it take to get my refund?,refund_request,Refunds usually take 3–7 business days to reflect in your account.
Is this item available?,product_info,"Yes, it’s currently available. Would you like me to check the color options?"
When will this product restock?,product_info,We restock every 2–3 weeks depending on supplier availability.
Thank you,general_chat,You’re welcome! Happy to help.
Do you offer bundle discounts?,product_info,"Yes, you can get discounts when buying 3 or more items."
Can I change my delivery address?,order_status,"Yes, please contact our support team immediately before the order ships."
See you later,general_chat,See you soon! Thanks for chatting with us.
Do you have size charts?,ecommerce_support,"Yes, you can find size charts on every product page under 'Size Guide'."
What can you do?,general_chat,"I can help you with tracking orders, returns, product info, and account support."
Write me a short poem about delivery.,ecommerce_support,"Swift wheels on roads, parcels in flight, bringing joy to doors day and night."
I didn’t get a tracking number.,order_status,"Please check your email’s spam folder. If you still can’t find it, contact our support."
What are your store hours?,ecommerce_support,Our online store is open 24/7. Physical branches operate from 9 AM to 9 PM daily.
Can I exchange my item instead of a refund?,refund_request,Yes! You can choose 'Exchange' when submitting your return form.
Do you like shopping?,ecommerce_support,I love helping people shop smarter!
I haven’t received my refund yet.,refund_request,I’m sorry for the delay. Refunds may take a few extra days depending on your payment method.
I can’t log in to my account.,account_help,Please reset your password or contact support for help logging in.
I want a refund.,refund_request,Refunds are processed within 3–5 business days after approval.
How can I check if a product is in stock?,ecommerce_support,Stock availability is shown on the product page next to the 'Add to Cart' button.
Can I recover my old account?,account_help,"Yes, please use your previous email to recover your account."
Can I change my refund method?,refund_request,Refunds are automatically issued to your original payment method for security reasons.
The product doesn’t work properly.,refund_request,We’re sorry about that! Please submit a refund or exchange request and we’ll assist immediately.
I love your store!,ecommerce_support,Thank you! We're always happy to serve you.
Do you offer discounts for first-time buyers?,ecommerce_support,"Yes, first-time buyers get a 10% discount using code WELCOME10."
How do I update my payment info?,account_help,You can update your payment information under Account Settings.
What is your return policy?,refund_request,"We accept returns within 7 days of receiving your order, as long as the item is unused and in original packaging."
I didn’t receive a verification email.,account_help,"Please check your spam folder. If it’s not there, request a new verification email."
Can I change my email address?,ecommerce_support,"Yes, you can update your email from your Account Settings page."
How do I return an item?,refund_request,"Go to your Orders page, select the item, and click 'Return or Replace.'"
How do I cancel my order?,order_status,Go to your Order History page and click the 'Cancel Order' button.
Tell me a fun fact about shopping.,ecommerce_support,Did you know? The first online purchase was a pizza in 1994!
Can I return an item without the box?,refund_request,Items without packaging may not be eligible for return. Please contact support for help.
How will I get my refund?,refund_request,Refunds are credited to your original payment method unless otherwise specified.
How can I contact customer service?,ecommerce_support,"You can reach us via live chat, email, or our hotline number listed on the Contact Us page."
The tracking number isn’t working.,order_status,Tracking numbers may take a few hours to update. Please try again later.
How long does delivery take?,order_status,Standard delivery takes 3–5 business days after shipping.
Good morning,general_chat,Good morning! How can I assist you today?
Can I get a refund for a damaged item?,refund_request,Yes! Please submit a photo of the damaged item when filing your refund request.
Is this product waterproof?,product_info,"Yes, it’s water-resistant but not fully waterproof."
Good afternoon,general_chat,Good afternoon! How can I assist you?
Does this product come with a warranty?,product_info,"Yes, this item comes with a 1-year warranty for manufacturing defects."
What is your loyalty program?,ecommerce_support,Our loyalty program gives you points for every purchase that can be redeemed for discounts.
Are your products authentic?,ecommerce_support,"Yes, all our products are 100% authentic and sourced directly from verified suppliers."
Do you have gift cards?,ecommerce_support,"Yes, we offer digital gift cards available in various denominations."
Can I see customer reviews?,product_info,"Yes, scroll down the product page to view verified customer reviews."
"I received the wrong item, can I get a refund?",refund_request,"Yes, you can choose 'Wrong Item Received' as the reason when filing a refund request."
"I received the wrong item, what should I do?",ecommerce_support,Please contact our support team immediately to arrange a replacement or refund.
Is this product still in stock?,product_info,"Yes, this product is available while supplies last."
How do I request a refund?,refund_request,You can request a refund by going to your Order History and clicking 'Request Refund.'
